id,title,description,availability,condition,price,link,image_link,brand,sale_price,color,size,item_group_id
AU-001,Luxury Buckled Gladiator Derby Shoes – Premium Leather Edition,"Built for the modern man, these Premium Leather Gladiator Derby Shoes pair bold buckled detailing with refined polish. Wear with tailored suits or dark denim for instant presence. Durable materials, confident comfort, and fast delivery deliver standout value.",in stock,new,88000 NGN,https://www.ausenlifestyle.com/ausen/luxury-buckled-gladiator-derby-shoes-premium-leather-edition,https://files.cdn-files-a.com/uploads/10770367/normal_6a466f3d9b58e.png,,88000,,,6a1f38f74f8f1
AU-002,Monarch Platform Tassel Loafers,"Own the room in Monarch Platform Tassel Loafers-platform support, sleek silhouette, and effortless slip-on ease. Pair with suits, chinos, or streetwear to walk with intent. Fast Delivery delivers the foundation of your style, quickly.",in stock,new,65000 NGN,https://www.ausenlifestyle.com/ausen/monarch-platform-tassel-loafers,https://files.cdn-files-a.com/uploads/10770367/normal_6a466ef617b9f.png,,65000,,,6a2245db213a9
AU-003,Premium Cap-Toe Oxford Shoes,"Built for the modern man who leads from the front, our Premium Cap-Toe Oxfords elevate your posture and presence. Wear them with suits or smart denim for instant polish. Exceptional value in durable construction, plus Fast Delivery to match your momentum.",in stock,new,74000 NGN,https://www.ausenlifestyle.com/ausen/premium-cap-toe-oxford-shoes,https://files.cdn-files-a.com/uploads/10770367/normal_6a4b1e451c37e.png,Clarks,74000,,,6a46745322774
AU-004,Tommy Jeans Heritage Luxe Leather Sneakers,"Experience premium comfort and timeless style with the Tommy Jeans Heritage Luxe Leather Sneakers. Crafted from premium leather with refined suede accents, these sneakers are perfect for smart-casual occasions, delivering exceptional comfort and sophisticated everyday elegance.",in stock,new,64000 NGN,https://www.ausenlifestyle.com/ausen/tommy-jeans-heritage-luxe-leather-sneakers,https://files.cdn-files-a.com/uploads/10770367/normal_6a5f398b774ee.jpg,Tommy Jeans,64000,,,6a5f399e64202
AU-005,Tommy Hilfiger Premium Leather Sneakers,"Upgrade your everyday style with the Tommy Hilfiger Premium Leather Sneakers. Designed for comfort and sophistication, these sneakers feature a sleek leather finish, lightweight construction, and a versatile design that complements both casual and smart casual outfits.",in stock,new,66000 NGN,https://www.ausenlifestyle.com/ausen/tommy-hilfiger-premium-sneakers,https://files.cdn-files-a.com/uploads/10770367/normal_6a5f8d571ffe8.jpg,Tommy Hilfiger,66000,,,6a5f8d2314643
AU-006,BOLD Premium Brown Leather Penny Loafers,"Step into effortless sophistication with the BOLD Premium Brown Leather Penny Loafers. Designed for the modern gentleman, these loafers combine timeless elegance with everyday comfort, making them perfect for business, formal occasions, church services, weddings, and smart casual outfits.",in stock,new,68000 NGN,https://www.ausenlifestyle.com/ausen/bold-premium-brown-leather-penny-loafers,https://files.cdn-files-a.com/uploads/10770367/normal_6a60b897e9b42.jpg,,68000,,,6a60b9d36c68f
AU-007,AUSEN Timber Edge Slip-On Sneakers,"Experience effortless style with the AUSEN Timber Edge Slip-On Sneakers. Designed for the modern gentleman, this premium slip-on combines a refined suede-look upper with a clean white sole for a smart casual appearance that transitions seamlessly from work to weekends.",in stock,new,55000 NGN,https://www.ausenlifestyle.com/ausen/ausen-timber-edge-slip-on-sneakers,https://files.cdn-files-a.com/uploads/10770367/normal_6a60babf13ef1.jpg,,55000,,,6a60bb135e87e
6a60bd5a9a2f9,AUSEN Obsidian Monogram Derby,"The AUSEN Obsidian Monogram Derby is a premium men’s dress shoe featuring a luxurious embossed black finish, durable lace-up design, and a rugged outsole for superior comfort and style. Perfect for business, formal occasions, church, and smart casual wear, it delivers a bold, sophisticated look with every step.",in stock,new,64000 NGN,https://www.ausenlifestyle.com/ausen/ausen-obsidian-monogram-derby,https://files.cdn-files-a.com/uploads/10770367/normal_6a60bf7e636d7.jpg,,64000,,,6a60bd5a9a2f9
6a6230ae2d4d5,Tommy Hilfiger Men’s Classic Boat Shoes,"Experience timeless elegance with the Tommy Hilfiger Men’s Classic Boat Shoes. Designed with a sleek white finish, signature branding, and a lightweight, comfortable fit, these shoes are perfect for casual outings, business-casual wear, and weekend adventures. A stylish blend of comfort, durability, and sophistication for the modern gentleman.",in stock,new,65000 NGN,https://www.ausenlifestyle.com/ausen/tommy-hilfiger-men-s-classic-boat-shoes,https://files.cdn-files-a.com/uploads/10770367/normal_6a622db7ca630.jpg,,65000,,,6a6230ae2d4d5
6a623384f0c03,Louis Vuitton Men’s Slip-On Sneakers,"Experience luxury and everyday comfort with the Louis Vuitton Men’s Slip-On Sneakers. Featuring a sleek white design, lightweight construction, and premium craftsmanship, these sneakers are perfect for the modern gentleman seeking effortless style.",in stock,new,65000 NGN,https://www.ausenlifestyle.com/ausen/louis-vuitton-men-s-slip-on-sneakers,https://files.cdn-files-a.com/uploads/10770367/normal_6a6231aa6bdb1.jpg,,65000,,,6a623384f0c03
